,response,knowledge
3014," The listener slows down the car to a reasonable speed.
"," The customer won't be able to reach the railway station before the arrival of the train.
"
3015," The listener slows down the car to the prescribed speed limit.
"," The customer won't be able to reach the railway station before the arrival of the train.
"
3016," The listener is happy to help the speaker in catching the train.
"," The listener will feel hopeful that the customer boards the train on time.
"
3017," The speaker wants to be helpful to the listener.
"," The hotel staff wants to help the guest with his bookings.
"
3018," The speaker has to attend a business meeting in the city.
"," The guest called up elegance hotel to check whether the room is free in the hotel or not.
"
3019," The listener checks the availability of the rooms in the hotel.
"," The listener checks if the hotel had the rooms vacant for the speaker as per his demand.
"
3020," The listener checks the availability of the rooms in the hotel.
"," The listener checks if the hotel had the rooms vacant for the speaker as per his demand.
"
3021," The speaker has to attend a business meeting in the city.
"," The guest requested the hotel staff to make a reservation for four nights next week, from tuesday to friday.
"
3022," The hotel staff will check the availability of the rooms in the hotel.
"," The listener check the availabilty of the room in the hotel.
"
3023," The listener asks the speaker about the price of the room.
"," The listener check the availabilty of the room in the hotel.
"
3024," The speaker is looking for a room with a view of the city.
"," The guest has requested to the hotel staff for a single room with an attached bathroom.
"
3025," The listener checks the availability of the single room in the hotel.
"," The hotel staff will share the room's tariff with the client.
"
3026," The listener checks the availability of the single room in the hotel.
"," The hotel staff will share the room's tariff with the client.
"
3027," The listener inquired about the rate of the room.
"," The guest inquired about the tariff of the room with the hotel staff.
"
3028," The speaker is curious to know whether the hotel includes breakfast.
"," The guest is keen on confirming with the hotel staff about the things included in the room tariff.
"
3029," The hotel provides english breakfast to its guests.
"," The breakfast served is complimenatory from the hotel's side.
"
3030," The listener checks the availability of the phone in the hotel.
"," It takes some time for the listener to decide to fix the room.
"
3031," The listener inquires the speaker if he can make calls on the outside line.
"," It takes some time for the listener to decide to fix the room.
"
3032," The listener is happy to help the speaker.
"," The listener will feel happy about getting the room at such an economical price.
"
3033," The speaker is eager to help the listener.
"," The speaker is seeking help about finding her classroom as she is unable to find the one.
"
3034," The speaker is confused about the way to his class.
"," The speaker is anxious about finding her classroom.
"
3035," The speaker has no idea about his class location.
"," The speaker informed her fellow students that she has no idea where her class is.
"
3036," The listener will help the speaker in finding his class.
"," The listener inform that in c block he need to go.
"
3037," The listener will ask the speaker about the location of the class.
"," The listener inform that in c block he need to go.
"
3038," The listener asked the speaker about his class location.
"," The fellow students inquired the speaker about the building in which her class is.
"
3039," The listener will guide the speaker to his class.
"," The listener shows the way to the c building.
"
3040," The speaker will reach his class on time.
"," The listener shows the way to the c building.
"
3041," The speaker knows the way to the c building.
"," The fellow student is fully aware about the different buildings in the school's campus.
"
3042," The listener shows the speaker the way to the c building.
"," The speker inquire where is the class no 261 locate.
"
3043," The speaker would ask the listener about the way to the c building.
"," The speker inquire where is the class no 261 locate.
"
3044," The listener asked the speaker which room number is it.
"," The fellow student asked the speaker about the classroom number in which the class is going on.
"
3045," The speaker will reach his class on time.
"," The listener request to the speaker to show the classroom.
"
3046," The speaker will reach his class on time.
"," The listener request to the speaker to show the classroom.
"
3047," The speaker knows the way to his class.
"," The fellow student has his class right around the c building.
"
3048," The listener shows the speaker the way to his class.
"," The speaker and the listener goes to class no 261.
"
3049," The listener shows the speaker the way to his class.
"," The speaker and the listener goes to class no 261.
"
3050," The listener is happy to help the speaker.
"," The listener will feel happy that finally, she has reached her class.
"
3051," The speaker went to a garment store to buy a suit for himself.
"," The customer has reached the tailor shop to give his measurements for stitching purposes.
"
3052," The speaker asked the listener about the price of the suit.
"," The speaker gives the material to the listener for making suit.
"
3053," The speaker shows the listener how to make a suit of this material.
"," The speaker gives the material to the listener for making suit.
"
3054," The speaker is interested in making a suit of this material.
"," The customer is keen on having his suit stitched for an upcoming event in the family.
"
3055," The speaker wants to be helpful to the listener.
"," The tailor wants to ensure he takes the correct measurements of the customer for proper fitting.
"
3056," The speaker is curious to know whether he needs to take off his coat to make the suit.
"," The customer wants to ensure that he gives correct measurements for the coat to ensure proper fitting.
"
3057," The listener asked the speaker to take off his coat.
"," The customer asked the tailor should he take his coat off for giving the measurements.
"
3058," The speaker takes off his coat and shows his suit to the listener.
"," The listener informs the tailor to make the suit single-breasted.
"
3059," The speaker takes the measurements of the listener's suit.
"," The listener informs the tailor to make the suit single-breasted.
"
3060," The listener asked the speaker to take off his coat.
"," The customer has submitted his suit material to the tailor for stitching purposes.
"
3061," The speaker takes the measurements of the listener's suit.
"," The listener take the measurement and note down in his diary.
"
3062," The speaker shows the listener how to make a single-breasted suit.
"," The listener take the measurement and note down in his diary.
"
3063," The speaker shows the receipt of the suit to the listener.
"," The tailor inform the sewing price of the suit.
"
3064," The listener pays for the suit and leaves the shop.
"," The tailor inform the sewing price of the suit.
"
3065," The speaker wants to be helpful to the listener.
"," The tailor wants to provide the best customer service to its client.
"
3066," The listener inquired about the cost of the suit.
"," The tailor requested the customer to wait for some time so that he can make out his receipt.
"
3067," The speaker shows the listener the price of the suit with padding and lining cloth.
"," The listener pays some advance amount for the stichting.
"
3068," The speaker pays for the suit and the lining cloth.
"," The listener pays some advance amount for the stichting.
"
3069," The speaker is curious to know when he will get his suit.
"," The customer is keen on getting the suit as early as possible.
"
3070," The listener is happy to help the speaker.
"," The listener will feel happy about stitching the customer's suit as per the requirement.
"
3071," The listener asked the speaker about the extra charges she had to pay.
"," The guest inquired about the extra charges levied on his bill amount.
"
3072," The listener asks the speaker about the additional charges she has to pay.
"," The listener pays off the bill including the service charges of the hotel.
"
3073," The listener asks the speaker about the additional charges she has to pay.
"," The listener pays off the bill including the service charges of the hotel.
"
3074," The hotel has a restaurant.
"," The hotel in the restaurant serves multiple cuisines.
"
3075," The listener asked the speaker about the extra charges for the hotel restaurant.
"," The hotel staff charges a 20 percent service charge on every meal.
"
3076," The speaker pays the hotel bill in cash.
"," The listener give his credit card for paying the bill.
"
3077," The speaker pays the hotel bill in cash.
"," The listener give his credit card for paying the bill.
"
3078," The speaker is disappointed with the hotel's service charges.
"," The guest will feel embarrassed about forgetting to pay the restaurant bill at the hotel.
"
3079," The listener is happy to help the speaker.
"," The listener will feel relieved that he will get his money paid right up front by the guest.
"
3080," The speaker is curious to know if there is any vacant seat available.
"," The speaker wants to leave for boston very soon.
"
3081," The listener asked the speaker if there was any seat available in the bus.
"," The speaker inquired the bus booking service about the time when the next bus for boston leaves.
"
3082," The listener asks the speaker if there is any vacant seat available in the bus.
"," The listener inform tge speaker to book the ticket.
"
3083," The speaker will wait for the next bus to boston.
"," The listener inform tge speaker to book the ticket.
"
3084," The listener asked the speaker about the fare of the bus.
"," The speaker inquired about the availability of seats on the bus leaving for boston.
"
3085," The speaker pays the fare and boards the bus.
"," The listener takes the amount from the speaker and gives the ticket.
"
3086," The speaker pays the fare and boards the bus.
"," The listener takes the amount from the speaker and gives the ticket.
"
3087," The speaker has to catch the bus to boston.
"," The speaker gave a currency note of forty dollars to the bus booking officer.
"
3088," The speaker pays the fare and boards the bus.
"," The speaker seek to the listener on which platform the bus is standing.
"
3089," The speaker pays the fare and boards the bus.
"," The speaker seek to the listener on which platform the bus is standing.
"
3090," The speaker is curious to know which gate to go to catch the bus.
"," The speaker wants to reach the correct gate number where the bus will be available for boarding.
"
3091," The speaker will board the bus at gate no 2.
"," The speaker goes to gate no 2 for pick his bus.
"
3092," The speaker will board the bus at gate no 2.
"," The speaker goes to gate no 2 for pick his bus.
"
3093," The speaker has to catch the next bus to boston.
"," The bus booking officer helped the speaker in booking his bus ticket for boston.
"
3094," The listener is happy to get a seat in the bus.
"," The listener will feel excited about reaching boston very soon.
"
3095," Mr. smith is excited to meet zhang yong.
"," Mr. zhang yong is keen on meeting mr. smith from britain.
"
3096," Mr. smith has arrived in china.
"," Mr. zhang yong introduced himself from textile import and export corporation.
"
3097," Mr. zhang would ask mr. smith about his work.
"," Mr. zhang yong offers help to mr. smith with his luggage.
"
3098," Mr. smith will ask mr. zhang about his work experience.
"," Mr. zhang yong offers help to mr. smith with his luggage.
"
3099," Mr. zhang was happy to meet mr. smith.
"," Mr. smith is feeling happy about meeting mr. zhang yong.
"
3100," Mr. smith has arrived in china.
"," Mr. zhang and mr. smith exchanged greetings after meeting each other at the airport.
"
3101," Mr. zhang yong will help mr. smith with his luggage.
"," The listener give his some luggages to the speaker.
"
3102," Mr. zhang yong will help mr. smith with his luggage.
"," The listener give his some luggages to the speaker.
"
3103," Mr. smith had a long trip to china.
"," Mr. zhang yong inquired mr. smith whether he enjoyed his trip to china.
"
3104," Mr. zhang would ask mr. smith about his destination.
"," The listener inform that he need a good sleep for overcome tirednes.
"
3105," Mr. smith will board the flight to china.
"," The listener inform that he need a good sleep for overcome tirednes.
"
3106," Mr. smith is confident that he will be fine by tomorrow.
"," Mr. smith is excited to start the business with mr. zhang.
"
3107," Mr. smith has arrived in china.
"," Mr. zhang has booked a five-star hotel for mr. smith's stay.
"
3108," Mr. smith will enjoy his stay in the hotel.
"," Mr. zhang informs mr. smith that the car is ready to drop him at the hotel.
"
3109," Mr. smith will enjoy his stay in china.
"," Mr. zhang informs mr. smith that the car is ready to drop him at the hotel.
"
3110," Mr. smith has to reach the hotel on time.
"," Mr. smith wants to do rest after a long travel from britain to china.
"
3111," Mr. zhang and mr. smith headed towards the hotel.
"," The listener drives the speaker to the place where the car is parked.
"
3112," Mr. zhang and mr. smith headed towards the hotel.
"," The listener drives the speaker to the place where the car is parked.
"
3113," Mr. zhang wants to reach the hotel as soon as possible.
"," Mr. smith is tired after his long journey.
"
3114," Mr. smith is happy to meet zhang yong.
"," The listener is thankful to mr. zhang that he came to drop the listener at the hotel.
"
3115," The speaker is new in the city.
"," The speaker had come for the first time to visit his friend in another city who lives near the busiest road.
"
3116," The listener will ask the speaker about the way to the seventy seventh street.
"," The listener informs the speaker that the street is not far from there, so he can reach there on foot.
"
3117," The speaker will ask the listener about the location of the busiest street in the city.
"," The listener informs the speaker that the street is not far from there, so he can reach there on foot.
"
3118," The speaker is a stranger in the city.
"," The listener inquires the speaker where the busiest street is.
"
3119," The listener asks the speaker about the way to reach the seventy seventh street.
"," The listener inquires from which bus they would be able to reach the street.
"
3120," The listener asks the speaker about the way to the seventy seventh street.
"," The listener inquires from which bus they would be able to reach the street.
"
3121," The speaker is curious to know which bus to take.
"," The speaker is exhausted from traveling.
"
3122," The listener has helped the speaker in finding the bus no. 12.
"," The listener informs the speaker that he can take bus number 12 to reach seventeenth street.
"
3123," The speaker will reach his destination on time.
"," The speaker waits for bus number 12 at the bus stop.
"
3124," The speaker will reach his destination on time.
"," The speaker waits for bus number 12 at the bus stop.
"
3125," The listener is happy to help the speaker.
"," The listener is glad that he was able to help the speaker.
"
3126," The listener asked the speaker if he could tell him the way to the british museum.
"," The listener inquires the speaker how to get to the british museum.
"
3127," The listener will board the bus to reach the british museum.
"," The listener boards the bus suggested by the speaker to reach the british museum.
"
3128," The listener will board the bus to reach the british museum.
"," The listener boards the bus suggested by the speaker to reach the british museum.
"
3129," The speaker is confused about the bus to the british museum.
"," The speaker is unaware of which bus will go to the british museum.
"
3130," The listener asked the speaker about the opening time of the museum.
"," The listener inquires at what time british museum opens.
"
3131," The listener will board the bus to reach the british museum.
"," The speaker waits for bus number 2 at the bus stop.
"
3132," The listener will board the bus to reach the british museum.
"," The speaker waits for bus number 2 at the bus stop.
"
3133," The listener asked the speaker if he could help him find the breakfast cereals.
"," The listener went to a grocery store to buy something for breakfast.
"
3134," The listener follows the speaker to the breakfast cereals aisle.
"," The listener headed up to the 2a aisle of the departmental store to buy the cereals.
"
3135," The listener follows the direction given by the speaker and finds the breakfast cereals.
"," The listener headed up to the 2a aisle of the departmental store to buy the cereals.
"
3136," The listener asked the speaker if the snack foods were in aisle 2a.
"," It was speaker's first day working as an assistant in the mall.
"
3137," The listener has helped the speaker in finding the breakfast cereals.
"," The listener informs the speaker where he can get his items for breakfast.
"
3138," The speaker went to the snack foods section of the store.
"," The listener expressed his gratitude for helping him.
"
3139," The speaker went to the snack foods section of the store.
"," The listener expressed his gratitude for helping him.
"
3140," The speaker is happy to help the listener.
"," The speaker is thankful to the listener that he helps him to find the grocery items.
"
3141," The restaurant is famous in the city.
"," The restaurant at sanyuan bridge is a very well-known restaurant in the city.
"
3142," The listener inquires about the availability of tables in the restaurant.
"," The listener suggest the speaker to make phone call for confirm the availablity of the seat.
"
3143," The speaker would tell the listener that the restaurant was famous in the city.
"," The listener suggest the speaker to make phone call for confirm the availablity of the seat.
"
3144," The speaker is concerned about the crowd in the restaurant.
"," The listener is worried whether he would get the table or not after reaching the restaurant.
"
3145," There must be a lot of people in the restaurant.
"," Many people don't get the table after reaching the restaurant.
"
3146," The listener will make a call to the restaurant to confirm the availability of the table.
"," The listener did not have the restaurant number.
"
3147," The listener calls the restaurant to confirm the availability of the table.
"," The listener did not have the restaurant number.
"
3148," The listener asked the speaker whether there was a table available in the restaurant.
"," The speaker is new in town and doesn't even have a guide.
"
3149," The listener will make a call to the restaurant to confirm the availability of the table.
"," The listener givee the tourist guidebook to the speaker to look up the restaurant telephone number.
"
3150," The listener will make a call to the restaurant to confirm the availability of the table.
"," The listener givee the tourist guidebook to the speaker to look up the restaurant telephone number.
"
3151," The listener has helped the speaker in finding the restaurant.
"," The listener helped the speaker to find a nice restaurant near his office.
"
3152," The speaker will book a table for dinner at the restaurant.
"," The speaker gets the telephone number from the tourist guide book.
"
3153," The speaker will book a table for dinner at the restaurant.
"," The speaker gets the telephone number from the tourist guide book.
"
3154," The speaker is curious to know about the bus to the railway station.
"," The speaker is confused as to which bus he should take to reach the railway station.
"
3155," The speaker has to reach the railway station on time.
"," The listener inquires which bus is going to the railway station.
"
3156," The listener will board the no 16 bus to reach the railway station.
"," The listener waits for bus no. 16 for the railway station at the bus stand.
"
3157," The listener will board the no 16 bus to reach the railway station.
"," The listener waits for bus no. 16 for the railway station at the bus stand.
"
3158," The speaker wants to reach the railway station as soon as possible.
"," The speaker is in a hurry as his train timing is near.
"
3159," The listener asked the speaker if there were any other buses that could take him to the railway station.
"," The listener informs the speaker that he may miss his train if he waits too long.
"
3160," The listener will board the no. 2 bus to reach the railway station.
"," The listener enquires for the speaker where he can find a bus to the railway station.
"
3161," The listener will board the no 2 bus to reach the railway station.
"," The listener enquires for the speaker where he can find a bus to the railway station.
"
3162," The speaker is curious to know where to catch the bus.
"," The speaker is not aware that from where he can get bus number 2 to reach the railway station on time.
"
3163," The listener asked the speaker where he could find the bus stop.
"," The speaker inquires from where he could get bus number 2.
"
3164," The listener will reach the railway station on time.
"," The speaker shows the way to the bus stop..
"
3165," The listener will reach the railway station on time.
"," The speaker shows the way to the bus stop..
"
3166," The speaker is curious to know the way to wall street.
"," The speaker is unaware of how to reach wall street.
"
3167," The listener asked the speaker about the way to wall street.
"," The listener inquires the speaker how to get to wall street.
"
3168," The listener follows the direction given by the speaker to reach wall street.
"," The listener boards train a from the subway train station to reach wall street.
"
3169," The listener follows the instructions given by the speaker and reaches wall street.
"," The listener boards train a from the subway train station to reach wall street.
"
3170," The speaker is curious to know the direction of the subway.
"," The speaker is unsure of the exact southbound train and is looking forward to hear about it from the listener.
"
3171," The listener asked the speaker about the direction of the subway.
"," The listener inquires how would he got to know that the train is going south.
"
3172," The listener follows the direction given by the speaker and reaches his desired destination.
"," The listener asks at what time the train will arrive.
"
3173," The listener follows the direction given by the speaker and reaches his desired destination.
"," The listener asks at what time the train will arrive.
"
3174," The speaker is not aware of the direction of the subway.
"," The listener rushes to board the subway train.
"
3175," The speaker will wait for the next train to wall street.
"," The listener gets on the subway train.
"
3176," The speaker will wait for the next train to wall street.
"," The listener gets on the subway train.
"
3177," The listener is annoyed with the speaker.
"," The listener is ashamed of his own behavior.
"
3178," The speaker is curious to know about the way to the forbidden city.
"," The speaker is eager to visit the forbidden city.
"
3179," The listener asked the speaker about the way to the forbidden city.
"," The listener inquires about the direction of the forbidden city.
"
3180," The listener follows the directions given by the speaker and reaches the forbidden city.
"," The listener follows the routes being navigated by the speaker to reach his destination.
"
3181," The listener follows the directions given by the speaker and reaches the forbidden city.
"," The listener follows the routes being navigated by the speaker to reach his destination.
"
3182," The listener has never been to the forbidden city before.
"," The listener was searching for a cab to reach forbidden city.
"
3183," The listener follows the directions given by the speaker and reaches the forbidden city.
"," The listener decides to go forbidden city on foot.
"
3184," The listener follows the directions given by the speaker and reaches the forbidden city.
"," The listener decides to go forbidden city on foot.
"
3185," The post office is nearby the speaker's house.
"," The speaker is well versed in the city.
"
3186," The listener asks the speaker if there is a post office nearby.
"," The listener seeks the way to the post office from the speaker.
"
3187," The listener asks the speaker if there is a post office nearby.
"," The listener seeks the way to the post office from the speaker.
"
3188," The speaker is curious to know how to reach the post office.
"," The speaker is confused about how to reach there from his current location.
"
3189," The listener asked the speaker how to reach the post office.
"," Mexico restaurant is a very famous restaurant in the city.
"
3190," The listener follows the directions given by the speaker and reaches the post office.
"," The listener inquires how far is the post office.
"
3191," The listener follows the directions given by the speaker and reaches the post office.
"," The listener inquires how far is the post office.
"
3192," The listener inquired about the distance to reach the post office.
"," The listener asks how long will it take if he go there by foot.
"
3193," The speaker will reach the post office on time.
"," The listener follows the instructions given by the speaker.
"
3194," The speaker will reach the post office on time.
"," The listener follows the instructions given by the speaker.
"
3195," The listener is happy to know about the location of the post office.
"," The listener is thankful to the speaker that he guided him to reach the post office.
"
3196," The parcel post counter is nearby the speaker's house.
"," There are different specific counters for all types of parcel services.
"
3197," The listener asks the speaker about the address of the parcel post counter.
"," The listener heads up to counter 1 to post his parcel.
"
3198," The listener asks the speaker about the address of the parcel post counter.
"," The listener heads up to counter 1 to post his parcel.
"
3199," The speaker has to send a package to los angeles.
"," The speaker's friend lives in los angeles whose birthday is coming.
"
3200," The listener asks the speaker about the cost of sending the package by regular mail.
"," The listener inquires how he wants to send his parcel.
"
3201," The listener asks the speaker about the cost of sending the package.
"," The listener inquires how he wants to send his parcel.
"
3202," The speaker wants to send the package to los angeles.
"," The listener informs the speaker about different mailing services.
"
3203," The listener asks the speaker whether he wants to send the package by air or by regular mail.
"," The listener checks the weight of the parcel and informs the price of delivery.
"
3204," The listener asks the speaker whether he wants to send the package by air or by regular mail.
"," The listener checks the weight of the parcel and informs the price of delivery.
"
3205," The speaker is interested in sending the package by regular mail.
"," The speaker is sure that the gift will reach his friend before his birthday.
"
3206," The listener asked the speaker whether he wanted to send the package by air or by regular mail.
"," There is a different price for different weight parcels.
"
3207," The listener asks the speaker about the weight of the package.
"," The listener pays for the parcel.
"
3208," The listener asks the speaker about the weight of the package.
"," The listener pays for the parcel.
"
3209," There are many people in the restaurant.
"," It was a weekend and many people with their families came to have dinner.
"
3210," The speaker would ask the listener if there were any vacant seats in the restaurant.
"," The listener look for the vaccant seat in the restaurant.
"
3211," The speaker asked the listener if there were any vacant seats available in the restaurant.
"," The listener look for the vaccant seat in the restaurant.
"
3212," There are so many people in the restaurant.
"," The speaker waited for a very long time to get the seat.
"
3213," The speaker is unable to find a seat in the restaurant.
"," The speaker walks to the counter to book the table.
"
3214," The speaker is unable to find a seat in the restaurant.
"," The speaker walks to the counter to book the table.
"
3215," The listener is happy to help the speaker in finding a seat.
"," The listener feels sad for the speaker that he was struggling for so long to find a seat.
"
3216," Amy and bob are friends since childhood.
"," Bob met amy first time at the party.
"
3217," The speaker is curious to know about the listener.
"," Bob is curious to know about amy.
"
3218," Amy is excited to dance with bob.
"," Bob is excited to dance with amy.
"
3219," Amy is a professional dancer.
"," Bob was dancing very well.
"
3220," Bob asked amy if she would like to dance with him.
"," The speaker invites the listener to a party organized by the speaker.
"
3221," Bob asked amy if she would like to dance with him.
"," The speaker invites the listener to a party organized by the speaker.
"
3222," Amy is excited to dance with bob.
"," Bob is glad that he came to this party.
"
3223," The speaker was invited to the party.
"," Amy went to an evening party where she met bob.
"
3224," The speaker and bob will enjoy the party together.
"," Bob inquires amy about her favorite dance form.
"
3225," Mr. bob asked mrs. amy to dance with him.
"," Bob inquires amy about her favorite dance form.
"
3226," The speaker is happy to attend the party.
"," Amy is happy that she came to this evening party.
"
3227," Bob knows how to fox-trot.
"," Amy has learned fox-trot dance from his childhood.
"
3228," The speaker and bob dance together.
"," The listener is also likes the fox rot dance form very much.
"
3229," The speaker asked bob to dance with her.
"," The listener is also likes the fox rot dance form very much.
"
3230," The listener asked the speaker about her fox-trot skills.
"," Bob and amy tried fox-trotting at the party.
"
3231," The speaker and bob danced together for the first time.
"," The listener decides to watch fox-rot together at the party.
"
3232," The speaker and bob danced together for the first time.
"," The listener decides to watch fox-rot together at the party.
"
3233," The listener is happy to see the speaker's dancing skills.
"," Bob was blushing when amy appreciated his dancing skills.
"
3234," The speaker's friend is suffering from stomach ache.
"," The speaker's friend had been suffering from kidney stones.
"
3235," The listener asked the speaker to call an ambulance for his friend.
"," The listener helps the speaker to get the patient to the hospital on time.
"
3236," The speaker called an ambulance for his friend.
"," The listener helps the speaker to get the patient to the hospital on time.
"
3237," The speaker's friend suddenly got a sharp pain in the stomach.
"," The listener called for help as his friend was suffering from intense stomach pain.
"
3238," The listener asks the speaker if there is any other way to reach the hospital.
"," The listener wanted to know if the speaker could help him to find someone who would take him to the hospital.
"
3239," The listener called an ambulance to take the speaker to the hospital.
"," The listener wanted to know if the speaker could help him to find someone who would take him to the hospital.
"
3240," The speaker is concerned about the listener's friend.
"," The speaker was curious to know if the listener's friend was insured.
"
3241," The speaker's friend is not insured.
"," According to the state government, all the city hospitals were instructed to admit only insured patients.
"
3242," The speaker informed the listener that the listener's friend is not insured.
"," The speaker asked his driver to drop the listener and his friend at the hospital.
"
3243," The speaker informed the listener that the listener's friend is not insured.
"," The speaker asked his driver to drop the listener and his friend at the hospital.
"
3244," The speaker is happy to know that the listener's friend is insured.
"," The speaker was glad to know that the listener's friend was insured.
"
3245," The listener is happy to know that his friend will be admitted to the hospital.
"," The listener felt relieved after talking to the speaker.
"
3246," The speaker wants to help the listener.
"," The speaker was curious to see the listener's train ticket.
"
3247," The listener asked the speaker if he could look at his ticket.
"," The listener asked the speaker to show his train ticket.
"
3248," The listener asked the speaker if he could look at the ticket.
"," The speaker gets worried and nervous because he has lost his flight ticket.
"
3249," The listener asked the speaker to show him the ticket.
"," The speaker gets worried and nervous because he has lost his flight ticket.
"
3250," The speaker is curious to know what to do now.
"," The speaker was nervous as he had lost his ticket on the train.
"
3251," The listener asks the speaker about the mode of payment for the ticket.
"," The listener is ready to pay the ticket fee.
"
3252," The listener pays the ticket and leaves the airport.
"," The listener is ready to pay the ticket fee.
"
3253," The listener asked the speaker what he should do now.
"," The listener ordered the speaker to pay the ticket price after reaching his destination.
"
3254," The speaker pays the fare and leaves the train.
"," The speaker goes to the ticket counter to get a new ticket.
"
3255," The speaker pays the fare and leaves the train.
"," The speaker goes to the ticket counter to get a new ticket.
"
3256," The listener is happy to help the speaker.
"," The listener was annoyed with the speaker's carelessness.
"
3257," The speaker has to reach his office on time.
"," The speaker asked the listener if he could spare some time for the customer satisfaction survey.
"
3258," The speaker asks the listener about his daily routine.
"," The listener inform that he is a regular passanger in train.
"
3259," The speaker asks the listener about the mode of transportation he uses to reach his office.
"," The listener inform that he is a regular passanger in train.
"
3260," The speaker has to reach his office on time.
"," The subway train was the fastest and reasonable means to travel in the city.
"
3261," The listener asks the speaker about his work timings.
"," The listener inquires about the speaker's views about their rail service.
"
3262," The listener asks the speaker about the mode of transportation.
"," The listener inquires about the speaker's views about their rail service.
"
3263," The listener asked the speaker about his experience of travelling by train.
"," The listener asked the speaker if he would like to recommend his family and friends to commute through their trains.
"
3264," The listener asks the speaker about the fare structure of the train.
"," The speaker likes the consistency and punctuality of the train.
"
3265," The listener asks the speaker about the fare of the train.
"," The speaker likes the consistency and punctuality of the train.
"
3266," The listener asked the speaker about his experience of the railway service.
"," The listener further asked the speaker about the reasons for preferring his train.
"
3267," The listener asked the speaker if he could get a seat in the evening train.
"," The listener inquired if the speaker gets the seat while he traveled through the train.
"
3268," The listener asks the speaker if he can get a seat on the train.
"," In the evening the train is crowded with the passenger.
"
3269," The listener asks the speaker if he can get a seat on the train.
"," In the evening the train is crowded with the passenger.
"
3270," The listener is happy to know that the speaker agrees with his statement.
"," The listener was glad to hear a satisfied customer.
"
3271," The speaker wants to help the listener.
"," The speaker was curious to know if the listener needed any help.
"
3272," The restaurant serves chicken to its customers.
"," Chef’s fried chicken was one the best dishes that the restaurant served.
"
3273," The waiter brings the chicken to the speaker.
"," The listener note down the order of the speaker.
"
3274," The listener brings chicken for the speaker.
"," The listener note down the order of the speaker.
"
3275," The listener asked the speaker if the dinner was served.
"," The listener went to a restaurant nearby his office as he was starving with hunger.
"
3276," The listener asks the speaker if he needs anything else apart from the chicken.
"," The listener ordered some beer pints for him.
"
3277," The listener asks the speaker if he needs anything else apart from chicken.
"," The listener ordered some beer pints for him.
"
3278," The restaurant has all kinds of sodas, juices, beers and wines available.
"," After looking at the speaker's sweating face the listener assumed he might need something chilled to drink.
"
3279," The listener asks the speaker if he would like anything else apart from the beer.
"," The listener serves food and drinks to the speaker.
"
3280," The listener asks the speaker if he would like anything else apart from the beer.
"," The listener serves food and drinks to the speaker.
"
3281," The listener asked the speaker about the screen near his steering wheel.
"," The speaker had bought a new car with a small lcd screen attached to the car's dashboard from his savings.
"
3282," The listener asks the speaker about the features of the portable tv.
"," The speaker explains the significance and features of the portable tv to the listener.
"
3283," The listener asks the speaker about the price of the portable tv.
"," The speaker explains the significance and features of the portable tv to the listener.
"
3284," The listener inquires the speaker about the programs shown on the portable tv.
"," The speaker had to pay some additional amount of money for the installation of the portable tv.
"
3285," The listener asks the speaker about the programs he watches on the portable tv.
"," The speaker explains features available in the new tv.
"
3286," The listener asks the speaker about the latest movie released on the portable tv.
"," The speaker explains features available in the new tv.
"
3287," The listener asked the speaker if there was anything interesting on the tv.
"," The listener inquired if the speaker had been watching some informative stuff on his tv.
"
3288," The speaker informed the listener that many people are unaware of the importance of tv in education.
"," The speaker show the listener some commercial ads in the tv.
"
3289," The speaker informed the listener that many people are unaware of the importance of watching tv.
"," The speaker show the listener some commercial ads in the tv.
"
3290," The speaker is curious to know whether there are any commercials on the tv.
"," The speaker was curious to know the types of channels and shows the listener had been watching on the tv.
"
3291," The listener asked the speaker if there were any commercials on the tv.
"," The speaker had worked in the news media industry before so he was aware of the revenue generation of the tv stations.
"
3292," The listener asked the speaker if the portable tv worked well.
"," The speaker's portable tv used to work through satellite transmission.
"
3293," The speaker is curious to know whether the listener pays for the tv.
"," The speaker was curious to know whether the listener had to pay for the subscription.
"
3294," The listener is happy to know that the speaker pays for the tv.
"," The listener was surprised to hear about such a reasonable amount for the subscription for 200 channels.
"
3295," The listener asked the speaker if he could get some paper napkins.
"," The speaker handed over the napkins to the listener.
"
3296," The listener brings the paper napkins for the speaker.
"," The speaker handed over the napkins to the listener.
"
3297," The listener asked the speaker if he could recommend some dessert.
"," The speaker went to the chef to ask what all has been prepared for the dessert.
"
3298," The listener asks the speaker about the price of the desserts.
"," The listener inquires from the speaker about the availability of cheese in the store.
"
3299," The listener asks the speaker about the price of the desserts.
"," The listener inquires from the speaker about the availability of cheese in the store.
"
3300," The restaurant has a wide variety of cheeses available.
"," The speaker's restaurant was famous for its delicious and mouth-melting desserts.
"
3301," The listener asks the speaker if they have cheese in the restaurant.
"," The speaker shows the shelf where the cheese product is kept.
"
3302," The listener asks the speaker if they have cheese in the restaurant.
"," The speaker shows the shelf where the cheese product is kept.
"
3303," The listener is happy to know that they have cheese in the restaurant.
"," The listener was delighted to hear that the restaurant had cheesecakes.
"
3304," The speaker is curious to know if he can get another blanket.
"," The speaker wanted to have another blanket.
"
3305," The speaker is concerned about the availability of blankets.
"," The speaker requested the listener to grant him some time to arrange for another blanket.
"
3306," The listener asked the speaker if he could have one more blanket.
"," The listener called up the room service to ask for another blanket.
"
